,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
10,control,iso,Trpn50,1.0,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
11,control,iso,Trpn50,1.2,1.05,38.039026974961686,0.0004372762444755717,25.89079776987219,0.2874708674066515,21.3,45.4,150.7,54.9,-87.97565243175738,7.795418568357472e-05,0.058310757499140616,0.012796038450284226,194.1,264.1,168.7,498.5,281.8,419.4
12,control,iso,Trpn50,0.8,1.1,37.9371849805924,0.0003889760309610065,60.94421799897299,0.31998785726588025,21.0,49.2,195.6,57.9,-87.97126914348453,7.936659183400942e-05,0.2895198487088436,0.01940143002614226,196.2,265.3,187.9,568.9,364.6,525.4
13,control,iso,Trpn50,1.0,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
14,control,iso,Trpn50,1.2,1.1,37.93715711371106,0.00038897668777295737,36.13207543384758,0.3199925225157786,21.0,49.2,162.8,57.9,-87.97126683547683,7.936738332538564e-05,0.10904687242180769,0.0194018559782096,196.2,265.3,187.8,568.9,314.1,473.9
0,control,iso,gammaw,0.8,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
1,control,iso,gammaw,1.0,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
2,control,iso,gammaw,1.2,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
3,control,iso,gammaw,0.8,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
4,control,iso,gammaw,1.0,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
5,control,iso,gammaw,1.2,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
6,control,iso,gammaw,0.8,1.0,38.12594813618984,0.00048394182740477934,25.259786353293464,0.2629184676942732,21.6,42.3,152.4,52.5,-87.97745821331877,7.74791955347495e-05,0.05385745327220808,0.0091789653402437,192.5,263.2,154.2,447.5,273.5,397.3
7,control,iso,gammaw,1.0,1.0,38.12594813618984,0.00048394182740477934,25.259786353293464,0.2629184676942732,21.6,42.3,152.4,52.5,-87.97745821331877,7.74791955347495e-05,0.05385745327220808,0.0091789653402437,192.5,263.2,154.2,447.5,273.5,397.3
