,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
6,gomez,dyn,gammaw,0.8,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
7,gomez,dyn,gammaw,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,gammaw,1.2,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
0,gomez,dyn,gammas,0.8,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
1,gomez,dyn,gammas,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,gammas,1.2,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
3,gomez,dyn,gammas,0.8,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
4,gomez,dyn,gammas,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,gammas,1.2,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
6,gomez,dyn,gammas,0.8,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
7,gomez,dyn,gammas,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,gammas,1.2,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
0,gomez,dyn,rs,0.8,1.0,40.23593349970188,0.00026172961085865434,1.1431183950571988,0.06964847873487005,16.4,149.1,193.5,126.1,-87.78643135508705,9.159439886989606e-05,0.12847120551603797,0.02011275161591573,236.6,345.2,290.3,578.6,373.3,561.3
1,gomez,dyn,rs,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,rs,1.2,1.0,40.2320672230882,0.0002596598476439736,1.1064140360666426,0.07105764083011366,16.4,155.8,216.7,123.3,-87.78947741856203,9.116551327983615e-05,0.1281843879191054,0.019931206752137488,236.9,345.6,295.8,579.4,407.8,597.4
3,gomez,dyn,rs,0.8,1.05,40.25966551841965,0.0002654101093491189,1.3112594561796476,0.07279435119929965,16.5,147.0,189.5,121.9,-87.78938741548859,9.108066553443456e-05,0.22021148570355123,0.02526911505628665,236.4,345.5,288.9,566.2,369.1,565.9
4,gomez,dyn,rs,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,rs,1.2,1.05,40.255158249594935,0.0002632718827783059,1.2755591186234636,0.07434714408497343,16.5,153.8,212.2,118.4,-87.79283284685762,9.059549064021372e-05,0.21825411080529625,0.02510359958195636,236.7,346.0,294.7,565.4,402.2,591.6
6,gomez,dyn,rs,0.8,1.1,40.287282237850064,0.0002706704845294632,1.5737157917577351,0.07727062586573896,16.6,144.0,184.2,116.8,-87.79102801736222,9.07500065294501e-05,0.4230324926719362,0.032370786080762964,236.1,345.8,286.7,548.0,360.6,557.9
7,gomez,dyn,rs,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,rs,1.2,1.1,40.28157865844508,0.00026848588186304234,1.5398885446687924,0.0789999828398684,16.6,150.8,206.0,111.8,-87.79452707458688,9.02589844918831e-05,0.4202020644838472,0.032227611929365074,236.5,346.4,292.9,543.4,391.1,569.8
0,gomez,dyn,rw,0.8,1.0,40.23266642619987,0.000259850935379386,1.108936556412854,0.07086158871218642,16.4,155.0,214.0,124.0,-87.78907391169926,9.122251586772564e-05,0.1282443400379224,0.019954775901098395,236.8,345.6,295.2,579.1,403.8,593.4
1,gomez,dyn,rw,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,rw,1.2,1.0,40.23462023742494,0.00026137058195849233,1.1382809664595541,0.07004726902302798,16.4,151.1,199.7,124.5,-87.78711397291588,9.1499141991891e-05,0.12839019710466257,0.020072991402856562,236.7,345.3,291.7,577.8,381.1,566.8
